""State"",""Surname"",""First Name"",""Other Names"",""Preferred Name"",""Initials"",""Courtesy Title"",""Salutation"",""Honorific"",""Gender"",""Parliament House Telephone"",""Parliament House Fax"",""Political Party"",""Electorate"",""Electorate Office Postal Address"",""Electorate Office Postal Suburb"",""Electorate Office Postal State"",""Electorate Office Postal PostCode"",""Electorate Office Fax"",""Electorate Office Phone"",""Electorate Office Toll Free"",""Parliamentary Titles""
"NSW","Hayes","Christopher","Patrick","Chris","C. P.","Mr","Mr","MP","MALE","(02) 6277 4083","(02) 6277 2309","ALP","Fowler","PO Box 205","Cabramatta","NSW","2166","(02) 9727 2240","(02) 9726 3988","","Chief Opposition Whip"
"NSW","Hendy","Peter","William","Peter","P. W.","Dr","Dr","MP","MALE","(02) 6277 4717","(02) 6277 4737","LP","Eden-Monaro","PO Box 214","Queanbeyan","NSW","2620","(02) 6284 3904","(02) 6284 3977","",""
"NSW","Hockey","Joseph","Benedict","Joe","J. B.","The Hon","Mr","MP","MALE","(02) 6277 7340","(02) 6273 3420","LP","North Sydney","PO Box 1107","North Sydney","NSW","2059","(02) 9929 9833","(02) 9929 9822","","The Treasurer"
"NSW","Hogan","Kevin","John","Kevin","K. J.","Mr","Mr","MP","MALE","(02) 6277 4746","(02) 6277 2278","Nats","Page","61-63 Molesworth Street","Lismore","NSW","2480","(02) 6621 4255","(02) 6621 4044","",""
"NSW","Husic","Edham","Nurredin","Ed","E. N.","The Hon","Mr","MP","MALE","(02) 6277 4488","(02) 6277 8590","ALP","Chifley","PO Box 259","Mt Druitt","NSW","2770","(02) 9832 2641","(02) 9625 4344","",""
"NSW","Jones","Stephen","Patrick","Stephen","S. P.","Mr","Mr","MP","MALE","(02) 6277 4661","(02) 6277 8548","ALP","Throsby","PO Box 864","Dapto","NSW","2530","(02) 4262 6155","(02) 4262 6122","",""
"NSW","Joyce","Barnaby","Thomas Gerard","","B. T. G.","The Hon","Mr","MP","MALE","(02) 6277 7520","(02) 6273 4120","Nats","New England","PO Box 963","Tamworth","NSW","2340","(02) 6761 3380","(02) 6761 3080","","Minister for Agriculture, Deputy Leader of The Nationals"
"NSW","Kelly","Craig","","","C.","Mr","Mr","MP","MALE","(02) 6277 4366","(02) 6277 8567","LP","Hughes","PO Box 1014,","Sutherland","NSW","1499","(02) 9545 0927","(02) 9521 6262","",""
"NSW","Laundy","Craig","Arthur Samuel","Craig","C. A.","Mr","Mr","MP","MALE","(02) 6277 4345","(02) 6277 8577","LP","Reid","PO Box 2028","Burwood North","NSW","2134","(02) 9745 2825","(02) 9715 7444","",""
"NSW","Ley","Sussan","Penelope","","S. P.","The Hon","Ms","MP","FEMALE","(02) 6277 7630","(02) 6273 5188","LP","Farrer","PO Box 672","Albury","NSW","2640","(02) 6021 6620","(02) 6021 3264","1300 303 203","Assistant Minister for Education"
"NSW","Markus","Louise","Elizabeth","Louise","L. E.","Mrs","Mrs","MP","FEMALE","(02) 6277 2371","(02) 6277 8463","LP","Macquarie","PO Box 855","Windsor","NSW","2756","(02) 4577 2640","(02) 4577 2631","",""
"NSW","Matheson","Russell","Glenn","Russell","R. G.","Mr","Mr","MP","MALE","(02) 6277 2035","(02) 6277 8486","LP","Macarthur","PO Box 1065","Camden","NSW","2570","(02) 4655 7690","(02) 4655 7600","",""
"NSW","McCormack","Michael","Francis","Michael","M. F.","The Hon","Mr","MP","MALE","(02) 6277 4725","(02) 6277 8563","Nats","Riverina","Suite 2, 11-15 Fitzmaurice Street","Wagga Wagga","NSW","2650","(02) 6921 5900","(02) 6921 4600","","Parliamentary Secretary to the Minister for Finance"
"NSW","McNamara","Karen","Jane","","K. J.","Mrs","Mrs","MP","FEMALE","(02) 6277 4055","(02) 6277 4293","LP","Dobell","PO Box 3763","Tuggerah","NSW","2259","(02) 4351 1487","(02) 4351 0837","",""
"NSW","Morrison","Scott","John","","S. J.","The Hon","Mr","MP","MALE","(02) 6277 7860","(02) 6273 4144","LP","Cook","PO Box 1306","Cronulla","NSW","2230","(02) 9523 8959","(02) 9523 0339","","Minister for Immigration and Border Protection"
"NSW","Owens","Julie","","","J.","Ms","Ms","MP","FEMALE","(02) 6277 4134","(02) 6277 8433","ALP","Parramatta","Suite 1, 25 Smith Street (Entry via Macquarie Street, opposite the Post Office)","Parramatta","NSW","2150","(02) 9689 3813","(02) 9689 1455","",""
"NSW","Plibersek","Tanya","Joan","","T. J.","The Hon","Ms","MP","FEMALE","(02) 6277 4404","(02) 6277 2212","ALP","Sydney","150 Broadway","Broadway","NSW","2007","(02) 9379 0701","(02) 9379 0700","","Deputy Leader of the Opposition"
"NSW","Rowland","Michelle","Anne","Michelle","M. A.","Ms","Ms","MP","FEMALE","(02) 6277 4833","(02) 6277 8586","ALP","Greenway","PO Box 686","Seven Hills","NSW","1730","(02) 9671 5147","(02) 9671 4780","",""
"NSW","Ruddock","Philip","Maxwell","","P. M.","The Hon","Mr","MP","MALE","(02) 6277 4088","(02) 6277 8468","LP","Berowra","PO Box 743","Pennant Hills","NSW","1715","(02) 9980 1833","(02) 9980 1822","","Chief Government Whip"
"NSW","Scott","Fiona","Meryl","Fiona","F. M.","Ms","Ms","MP","FEMALE","(02) 6277 4270","(02) 6277 8422","LP","Lindsay","PO Box 712","Penrith","NSW","2750","(02) 4732 1812","(02) 4731 3700","",""
"NSW","Sudmalis","Ann","Elizabeth","","A. E.","Mrs","Mrs","MP","FEMALE","(02) 6277 4141","(02) 6277 8482","LP","Gilmore","PO Box 1009","Nowra","NSW","2541","(02) 4423 1785","(02) 4423 1782","",""
"NSW","Taylor","Angus","James","Angus","A. J.","Mr","Mr","MP","MALE","(02) 6277 4662","(02) 6277 2389","LP","Hume","PO Box 700","Goulburn","NSW","2580","(02) 4822 1029","(02) 4822 2277","",""
"NSW","Thistlethwaite","Matthew","James","Matt","M. J.","Hon","Mr","MP","MALE","(02) 6277 4840","(02) 6277 4969","ALP","Kingsford Smith","PO Box 895","Maroubra","NSW","2035","(02) 9349 8089","(02) 9349 6007","",""
"NSW","Turnbull","Malcolm","Bligh","","M. B.","The Hon","Mr","MP","MALE","(02) 6277 7480","(02) 6273 3776","LP","Wentworth","PO Box 545","Edgecliff","NSW","2027","(02) 9327 2533","(02) 9327 3988","","Minister for Communications"
"NSW","Varvaris","Nickolas","","","N.","Mr","Mr","MP","MALE","(02) 6277 4626","(02) 6277 8428","LP","Barton","PO Box 32","Kogarah","NSW","2217","(02) 9587 1544","(02) 9587 1555","",""
"NSW","Wicks","Lucy","Elizabeth","","L. E.","Mrs","Mrs","MP","FEMALE","(02) 6277 4738","(02) 6277 4739","LP","Robertson","PO Box 577","Gosford","NSW","2250","(02) 4322 2499","(02) 4322 2400","",""
"NT","Griggs","Natasha","Louise","","N. L.","Mrs","Mrs","MP","FEMALE","(02) 6277 2392","(02) 6277 8479","CLP","Solomon","PO Box 43300","Casuarina","NT","0811","(08) 8928 0189","(08) 8928 0180","",""
"NT","Snowdon","Warren","Edward","","W. E.","The Hon","Mr","MP","MALE","(02) 6277 4081","(02) 6277 2088","ALP","Lingiari","PO Box 4007","Alice Springs","NT","0870","(08) 8952 5922","(08) 8952 9696","",""
"Qld","Andrews","Karen","Lesley","Karen","K. L.","Mrs","Mrs","MP","FEMALE","(02) 6277 4360","(02) 6277 8462","LP","McPherson","PO Box 409","Varsity Lakes","Qld","4227","(07) 5580 9700","(07) 5580 9111","",""
"Qld","Brough","Malcolm","Thomas","Mal","M. T.","The Hon","Mr","MP","MALE","(02) 6277 4970","(02) 6277 2860","LP","Fisher","PO Box 1224","Buddina","Qld","4575","(07) 5452 6655","(07) 5444 4888","",""
"Qld","Buchholz","Scott","","","S.","Mr","Mr","MP","MALE","(02) 6277 4449","(02) 6277 8408","LP","Wright","PO Box 628","Beaudesert","Qld","4285","(07) 5541 4150","(07) 5541 0150","","Government Whip"
"Qld","Butler","Terri","Megan","Terri","T. M.","Ms","Ms","MP","FEMALE","(02) 6277 4877","(02) 6277 8497","ALP","Griffith","PO Box 476","Morningside","Qld","4170","(07) 3899 5755","(07) 3899 4031","",""
"Qld","Chalmers","James","Edward","Jim","J. E.","Dr","Dr","MP","MALE","(02) 6277 4880","(02) 6277 4908","ALP","Rankin","PO Box 349","Woodridge","Qld","4114","(07) 3208 8744","(07) 3299 5910","",""
"Qld","Christensen","George","Robert","George","G. R.","Mr","Mr","MP","MALE","(02) 6277 4538","(02) 6277 8508","Nats","Dawson","PO Box 1697","Mackay","Qld","4740","(07) 4944 0575","(07) 4944 0662","1300 301 979","The Nationals Deputy Whip"
"Qld","Ciobo","Steven","Michele","","S. M.","The Hon","Mr","MP","MALE","(02) 6277 2330","(02) 6277 8452","LP","Moncrieff","PO Box 4922","Gold Coast Mail Centre","Qld","9726","(07) 5504 6944","(07) 5504 6000","","Parliamentary Secretary to the Treasurer"
"Qld","Dutton","Peter","Craig","","P. C.","The Hon","Mr","MP","MALE","(02) 6277 7220","(02) 6273 4146","LP","Dickson","PO Box 2012","Strathpine","Qld","4500","(07) 3205 5111","(07) 3205 9977","","Minister for Health, Minister for Sport"
"Qld","Entsch","Warren","George","Warren","W. G.","The Hon","Mr","MP","MALE","(02) 6277 4803","(02) 6277 2238","LP","Leichhardt","PO Box 14","Bungalow","Qld","4870","(07) 4031 1592","(07) 4051 2220","",""
"Qld","Gambaro","Teresa","","","T.","The Hon","Ms","MP","FEMALE","(02) 6277 4331","(02) 6277 8515","LP","Brisbane","PO Box 98","Grange","Qld","4051","(07) 3356 6711","(07) 3356 1555","",""
"Qld","Howarth","Luke","Ronald","Luke","L. R.","Mr","Mr","MP","MALE","(02) 6277 4018","(02) 6277 2361","LP","Petrie","40 Hornibrook Esplanade","Clontarf Beach","Qld","4019","(07) 3284 8002","(07) 3284 8008","",""
"Qld","Jones","Ewen","Thomas","","E. T.","Mr","Mr","MP","MALE","(02) 6277 4693","(02) 6277 8551","LP","Herbert","PO Box 226","Aitkenvale","Qld","4814","(07) 4725 2088","(07) 4725 2066","",""
"Qld","Katter","Robert","Carl","Bob","R. C.","The Hon","Mr","MP","MALE","(02) 6277 4978","(02) 6277 8558","AUS","Kennedy","PO Box 1638","Innisfail","Qld","4860","(07) 4061 6566","(07) 4061 6066","",""
"Qld","Laming","Andrew","","","A.","Mr","Mr","MP","MALE","(02) 6277 4258","(02) 6277 8503","LP","Bowman","PO Box 8024","Cleveland","Qld","4163","(07) 3821 3799","(07) 3821 0155","",""
"Qld","Landry","Michelle","Leanne","Michelle","M. L.","Ms","Ms","MP","FEMALE","(02) 6277 4373","(02) 6277 2376","Nats","Capricornia","PO Box 1919","Rockhampton","Qld","4700","(07) 4922 6607","(07) 4922 6604","",""
"Qld","Macfarlane","Ian","Elgin","","I. E.","The Hon","Mr","MP","MALE","(02) 6277 7070","(02) 6273 3662","LP","Groom","PO Box 777","Toowoomba","Qld","4350","(07) 4638 2147","(07) 4632 4144","","Minister for Industry"
"Qld","Neumann","Shayne","Kenneth","","S. K.","The Hon","Mr","MP","MALE","(02) 6277 4755","(02) 6277 8533","ALP","Blair","PO Box 5117","Brassall","Qld","4305","(07) 3201 5311","(07) 3201 5300","1300 792 714",""
"Qld","O'Dowd","Kenneth","Desmond","Ken","K. D.","Mr","Mr","MP","MALE","(02) 6277 4380","(02) 6277 8495","Nats","Flynn","76 Goondoon Street","Gladstone","Qld","4680","(07) 4972 0888","(07) 4972 5465","",""
"Qld","Palmer","Clive","Frederick","Clive","C. F.","Mr","Mr","MP","MALE","(02) 6277 4372","(02) 6277 8484","PUP","Fairfax","PO Box 1978","Sunshine Plaza","Qld","4558","(07) 5443 5333","(07) 5479 2800","",""
"Qld","Perrett","Graham","Douglas","","G. D.","Mr","Mr","MP","MALE","(02) 6277 4542","(02) 6277 8419","ALP","Moreton","PO Box 419, Sunnybank Plaza","Sunnybank","Qld","4109","(07) 3344 4276","(07) 3344 2622","",""
"Qld","Pitt","Keith","John","Keith","K. J.","Mr","Mr","MP","MALE","(02) 6277 4122","(02) 6277 2394","Nats","Hinkler","PO Box 535","Bundaberg","Qld","4670","(07) 4153 1752","(07) 4152 0744","",""
"Qld","Prentice","Jane","","","J.","Mrs","Mrs","MP","FEMALE","(02) 6277 4426","(02) 6277 8512","LP","Ryan","PO Box 704","Indooroopilly","Qld","4068","(07) 3378 1399","(07) 3378 1599","",""
"Qld","Ripoll","Bernard","Fernand","Bernie","B. F.","The Hon","Mr","MP","MALE","(02) 6277 4934","(02) 6277 8584","ALP","Oxley","PO Box 4042","Forest Lake","Qld","4078","(07) 38796441","(07) 38796440","",""
"Qld","Robert","Stuart","Rowland","","S. R.","The Hon","Mr","MP","MALE","(02) 6277 7730","(02) 6273 3897","LP","Fadden","PO Box 733","Biggera Waters","Qld","4216","(07) 5500 5484","(07) 5500 5919","","Assistant Minister for Defence"
"Qld","Roy","Wyatt","","Wyatt","W. B.","Mr","Mr","MP","MALE","(02) 6277 4646","(02) 6277 8539","LP","Longman","PO Box 825","Morayfield","Qld","4506","(07) 5428 6800","(07) 5428 7755","",""
"Qld","Scott","Bruce","Craig","","B. C.","The Hon","Mr","MP","MALE","(02) 6277 4949","(02) 6277 8421","Nats","Maranoa","PO Box 641","Dalby","Qld","4405","(07) 4662 5149","(07) 4662 2715","1300 301 964","Deputy Speaker"
"Qld","Swan","Wayne","Maxwell","","W. M.","The Hon","Mr","MP","MALE","(02) 6277 4311","(02) 6277 2399","ALP","Lilley","PO Box 182","Nundah","Qld","4012","(07) 3266 4263","(07) 3266 8244","",""
"Qld","Truss","Warren","Errol","","W. E.","The Hon","Mr","MP","MALE","(02) 6277 7680","(02) 6273 4163","Nats","Wide Bay","PO Box 283","Maryborough","Qld","4650","(07) 4122 3968","(07) 4121 2936","","Deputy Prime Minister, Minister for Infrastructure and Regional Development"
"Qld","van Manen","Albertus","Johannes","Bert","A. J.","Mr","Mr","MP","MALE","(02) 6277 4719","(02) 6277 8553","LP","Forde","PO Box 884","Beenleigh","Qld","4207","(07) 3807 1990","(07) 3807 6340","",""
"Qld","Vasta","Ross","Xavier","Ross","R. X.","Mr","Mr","MP","MALE","(02) 6277 4632","(02) 6277 8535","LP","Bonner","69 Clara Street","Wynnum","Qld","4178","(07) 3893 3422","(07) 3893 3488","",""
"SA","Briggs","Jamie","Edward","Jamie","J. E.","The Hon","Mr","MP","MALE","(02) 6277 7020","(02) 6273 4126","LP","Mayo","PO Box 1601","Mount Barker","SA","5251","(08) 8398 5577","(08) 8398 5566","","Assistant Minister for Infrastructure and Regional Development"
"SA","Butler","Mark","Christopher","","M. C.","The Hon","Mr","MP","MALE","(02) 6277 4089","(02) 6277 2222","ALP","Port Adelaide","PO Box 2038","Port Adelaide","SA","5015","(08) 8242 0744","(08) 8242 0733","",""
"SA","Champion","Nicholas","David","Nick","N. D.","Mr","Mr","MP","MALE","(02) 6277 4451","(02) 6277 8511","ALP","Wakefield","PO Box 288","Smithfield","SA","5114","(08) 8284 2433","(08) 8284 2422","1300 780 170",""
"SA","Ellis","Katherine","Margaret","Kate","K. M.","The Hon","Ms","MP","FEMALE","(02) 6277 4479","(02) 6277 2216","ALP","Adelaide","161 Main North Road, Nailsworth","","SA","5083","(08) 8269 2488","(08) 8269 2433","",""
"SA","Pasin","Antony","","Tony","A.","Mr","Mr","MP","MALE","(02) 6277 4864","(02) 6277 4865","LP","Barker","Shop 17, Murray Bridge Market Place, South Terrace","Murray Bridge","SA","5253","(08) 8531 2124","(08) 8531 2466","",""
"SA","Pyne","Christopher","Maurice","","C. M.","The Hon","Mr","MP","MALE","(02) 6277 7350","(02) 6273 4134","LP","Sturt","429 Magill Road","St Morris","SA","5068","(08) 8431 2288","(08) 8431 2277","","Minister for Education, Leader of the House"
"SA","Ramsey","Rowan","Eric","","R. E.","Mr","Mr","MP","MALE","(02) 6277 4967","(02) 6277 8440","LP","Grey","PO Box 296","Port Pirie","SA","5540","(08) 8633 1749","(08) 8633 1744","1300 301 742",""
"SA","Rishworth","Amanda","Louise","","A. L.","The Hon","Ms","MP","FEMALE","(02) 6277 2293","(02) 6277 8498","ALP","Kingston","232 Main South Road","Morphett Vale","SA","5162","(08) 8186 2688","(08) 8186 2588","1300 797 211",""
"SA","Southcott","Andrew","John","","A. J.","Dr","Dr","MP","MALE","(02) 6277 4283","(02) 6277 8476","LP","Boothby","Level 1, 724 Marion Road","Marion","SA","5043","(08) 8374 3071","(08) 8374 0511","",""
"SA","Williams","Matthew","Philip","Matt","M. P.","Mr","Mr","MP","MALE","(02) 6277 4429","(02) 6277 2375","LP","Hindmarsh","Shop 2, 670 Anzac Highway","Glenelg East","SA","5045","(08) 8376 7888","(08) 8376 9000","",""
"SA","Zappia","Antonio","","Tony","A.","Mr","Mr","MP","MALE","(02) 6277 4147","(02) 6277 8592","ALP","Makin","PO Box 775","Modbury","SA","5092","(08) 8265 3900","(08) 8265 3100","",""
"Tas","Collins","Julie","Maree","","J. M.","The Hon","Ms","MP","FEMALE","(02) 6277 4107","(02) 6277 2321","ALP","Franklin","PO Box 38","Rosny Park","Tas","7018","(03) 6244 1211","(03) 6244 1222","",""
"Tas","Hutchinson","Eric","Russell","Eric","E. R.","Mr","Mr","MP","MALE","(02) 6277 4918","(02) 6277 4299","LP","Lyons","PO Box 50","Perth","Tas","7300","(03) 6398 1120","(03) 6398 1115","",""
"Tas","Nikolic","Andrew","Alexander","","A. A.","Mr","Mr","AM, CSC, MP","MALE","(02) 6277 4954","(02) 6277 2273","LP","Bass","PO Box 5035","Launceston","Tas","7250","(03) 63347055","(03) 63347033","1300 784 745",""
"Tas","Whiteley","Brett","David","Brett","B. D.","Mr","Mr","MP","MALE","(02) 6277 4387","(02) 6277 2335","LP","Braddon","PO Box 908","Burnie","Tas","7320","(03) 6431 5680","(03) 6431 1333","",""
"Tas","Wilkie","Andrew","Damien","Andrew","A. D.","Mr","Mr","MP","MALE","(02) 6277 4766","(02) 6277 8579","Ind.","Denison","GPO Box 32","Hobart","Tas","7001","(03) 6223 8560","(03) 6234 5255","",""
"Vic","Andrews","Kevin","James","","K. J.","The Hon","Mr","MP","MALE","(02) 6277 7560","(02) 6273 4122","LP","Menzies","PO Box 124","Doncaster","Vic","3108","(03) 9848 2741","(03) 9848 9900","","Minister for Social Services"
"Vic","Bandt","Adam","Paul","","A. P.","Mr","Mr","MP","MALE","(02) 6277 4775","(02) 6277 8583","AG","Melbourne","280 King St","Melbourne","Vic","3000","(03) 9642 0599","(03) 9642 0922","",""
"Vic","Billson","Bruce","Fredrick","","B. F.","The Hon","Mr","MP","MALE","(02) 6277 7930","(02) 6273 0434","LP","Dunkley","PO Box 501","Frankston","Vic","3199","(03) 9783 7912","(03) 9781 2333","","Minister for Small Business"
"Vic","Broad","Andrew","John","Andrew","A. J.","Mr","Mr","MP","MALE","(02) 6277 4761","(02) 6277 2356","Nats","Mallee","PO Box 1133","Mildura","Vic","3502","(03) 5023 3274","1300 131 620","",""
"Vic","Broadbent","Russell","Evan","","R. E.","Mr","Mr","MP","MALE","(02) 6277 4233","(02) 6277 8485","LP","McMillan","46C Albert Street","Warragul","Vic","3820","(03) 5623 2509","(03) 5623 2064","",""
"Vic","Burke","Anna","Elizabeth","","A. E.","Ms","Ms","MP","FEMALE","(02) 6277 4866","(02) 6277 4867","ALP","Chisholm","PO Box 3042","Syndal","Vic","3149","(03) 9802 0588","(03) 9802 0566","",""
"Vic","Byrne","Anthony","Michael","","A. M.","The Hon","Mr","MP","MALE","(02) 6277 4309","(02) 6277 8473","ALP","Holt","Shop HM 2B, 8-10 Overland Drive","Fountain Gate","Vic","3805","(03) 9796 7088","(03) 9796 7533","",""
"Vic","Chester","Darren","Jeffrey","Darren","D. J.","The Hon","Mr","MP","MALE","(02) 6277 4029","(02) 6277 8402","Nats","Gippsland","PO Box 486","Sale","Vic","3850","(03) 5144 3945","(03) 5144 6744","","Parliamentary Secretary to the Minister for Defence"
"Vic","Chesters","Lisa","Marie","Lisa","L. M.","Ms","Ms","MP","FEMALE","(02) 6277 4657","(02) 6277 2357","ALP","Bendigo","PO Box 338","Bendigo","Vic","3550","(03) 5443 9736","(03) 5443 9055","",""
"Vic","Danby","Michael","","","M.","The Hon","Mr","MP","MALE","(02) 6277 4520","(02) 6277 8480","ALP","Melbourne Ports","PO Box 2086","St Kilda West","Vic","3182","(03) 9534 1575","(03) 9534 8126","",""
"Vic","Dreyfus","Mark","Alfred","Mark","M. A.","The Hon","Mr","QC, MP","MALE","(02) 6277 4205","(02) 6277 8523","ALP","Isaacs","Shop No. 6, Parkmore Shopping Centre, Cheltenham Road","Keysborough","Vic","3173","(03) 9769 1977","(03) 9769 1955","","Deputy Manager of Opposition Business"
"Vic","Feeney","David","Ian","David","D. I.","Hon","Mr","MP","MALE","(02) 6277 4948","(02) 6277 4849","ALP","Batman","159 High St","Preston","Vic","3072","(03) 9410 7810","(03) 9416 8690","",""
"Vic","Frydenberg","Joshua","Anthony","Josh","J. A.","The Hon","Mr","MP","MALE","(02) 6277 4606","(02) 6277 8546","LP","Kooyong","695 Burke Road","Camberwell","Vic","3124","(03) 9882 3773","(03) 9882 3677","","Parliamentary Secretary to the Prime Minister"
"Vic","Giles","Andrew","James","Andrew","A. J.","Mr","Mr","MP","MALE","(02) 6277 4044","(02) 6277 8417","ALP","Scullin","PO Box 167","Mill Park LPO","Vic","3082","(03) 9404 1725","(03) 9404 1911","",""
